"","species","kg","individuals","NA"
"1","atherure_ikoo",351.175,138,435
"2","aulacode_simbiliki",3.98,1,8
"3","autre",97.3475,98,85
"4","calao_inconnu",8.5,5,16
"5","cephalophe_bai_nkulupa",248.6805,15,344
"6","cephalophe_bleu_mboloko",955.06125,257,1299
"7","cephalophe_de_weyns_mbengele",1112.03775,74,1756
"8","cephalophe_dos_jaune_mbende",731.334,16,1199
"9","cephalophe_fronte_noire_mpambi",48.65,4,54
"10","cephalophe_rouge_inconnu",27,2,7
"11","cercocebe_noir_ngila",95.7545,16,138
"12","cercocebe_ventre_dor_e_inku",21.66,3,13
"13","cercopitheque_ascagne_nsoli",209.81075,65,273
"14","cercopitheque_de_wolf_mbeka",30.31,9,33
"15","cercopitheque_noir_et_vert_ekele",40.16,9,40
"16","chat_dor_lowa",0.25,1,1
"17","chevrotain_aquatique_inkuta",67.288,7,86
"18","civette_libobi",11.98,2,16
"19","civette_palmiste_mbio",3.45,2,5
"20","colobe_bai_de_thollon_nkolongo",397.887,62,578
"21","colobe_magistrat_liyuka",31.1985,4,57
"22","crocodil_nain",43.385,8,81
"23","crocodile_du_nil",3.05,1,4
"24","crocodile_inconnu",1,1,1
"25","daman_d_arbre",1,1,1
"26","ecureil_geant",2,2,2
"27","ecureil_inconnu",18.57,29,26
"28","galago_inconnu",0.8,4,1
"29","grand_ongul_inconnu",3.2,1,5
"30","hippopotame_ngubu",0.55,1,2
"31","mangouste_congolaise",2.1,2,4
"32","oiseau_inconnu",50.47,89,43
"33","pangolin_geant_nkake",4.75,1,15
"34","pangolin_longue_queue",0.1,1,1
"35","pangolin_petites_caille",5.6,4,4
"36","petit_pangolin_inconnu",9.7,6,10
"37","pintade",21.25,14,20
"38","potamochere_nsombo",765.5925,18,1008
"39","potto",0.2,1,1
"40","python_inconnu",21.1475,1,48
"41","rapace_inconnu",0.5,1,1
"42","rat_de_gambie",263.15475,238,323
"43","serpent_inconnu",12.875,24,15
"44","singe_de_brazza_bosila",15.2,3,2
"45","sitatunga_mbuli",125.4925,3,239
"46","souri_inconnu",1.15,12,3
"47","tortue_d_eau_inconnue",28.795,11,30
"48","tortue_de_terre_inconnue",35.85,31,40
"49","turaco_bleu_geant",1,2,1
"50","varan_inconnu",0.7,1,1
"51","vipere_du_gabon",8.4,3,5
"52","vipere_inconnue",34.165,11,48
